("entity"|C사|ORGANIZATION|C사는 미국에서 스프링롤 제조업체로 시작하여 현재는 김치를 포함한 한국식 소스와 부침개 등 여러 한국 음식 상품을 판매하는 기업으로 성장하며, MSG, GMO, 색소, 방부제 무첨가 제품을 건강한 농산물과 향신료로 제조함|8)
** 
("entity"|A사|ORGANIZATION|A사는 한국 최대의 식품회사 중 하나로 발효 음식 분야의 글로벌 리더 기업이며, 미국에 자회사를 두고 있으며 고추장, 김치, 라면 등 다양한 제품을 생산 및 유통함|8)
** 
("entity"|B사|ORGANIZATION|B사는 한국의 1위 브랜드를 보유하고 있으며, 미국을 포함한 여러 국가에 해외 지사를 운영하는 글로벌 종합식품 기업으로, 김치 등 21개 품목을 제조·판매함|8)
** 
("entity"|H마트|ORGANIZATION|H마트는 미국 최대 한인마트 체인으로, 한국 식품과 아시아 식품을 전문으로 판매하며, 미국 전역에 80여 개 매장을 운영하는 한국계 슈퍼마켓 체인|8)
** 
("entity"|Walmart|ORGANIZATION|Walmart는 미국 최대 하이퍼마켓 체인으로, 식료품, 가전, 의류 등 다양한 제품을 저렴한 가격에 제공하며, 김치 등 한국 식품도 판매하는 글로벌 유통업체|8)
** 
("entity"|Trader Joe's|ORGANIZATION|Trader Joe's는 미국 전역에 560여 개 매장을 운영하는 미국 식료품점 체인으로, 샐러드, 피클, 김치 등 다양한 식품을 저렴한 가격에 판매하며, 자체 브랜드 제품이 강점|8)
** 
("entity"|K사|ORGANIZATION|K사는 미국 내 수입 및 유통업체로, 한국 식품, 김치, 고추장, 라면 등 다양한 한국 식품을 수입하여 유통하는 업체|8)
** 
("entity"|Seoul Kimchi|PRODUCT|Seoul Kimchi는 미국산 김치로, 유리병 포장에 396g 용량이며, 한국산 원재료를 사용하고 인증(Kosher)과 미국 현지 포장 방식을 적용한 맛김치|8)
** 
("entity"|Organic Kimchi|PRODUCT|Organic Kimchi는 미국산 김치로, 유리병 포장에 454g 용량이며, 유기농 원료와 USDA Organic 인증을 갖춘 맛김치|8)
** 
("entity"|Cleveland Kimchi|PRODUCT|Cleveland Kimchi는 미국산 맛김치로, 플라스틱 백 포장에 454g 용량이며, 미국산 원료와 생강, 마늘, 고춧가루 등 자연 재료를 사용한 제품|8)
** 
("entity"|Trader Joe's Kimchi|PRODUCT|Trader Joe's Kimchi는 한국산 맛김치로, 플라스틱병 포장에 300g 용량이며, 배추, 무, 고춧가루, 마늘 등 전통 재료를 사용한 제품|8)
** 
("entity"|Whole Cabbage Kimchi|PRODUCT|Whole Cabbage Kimchi는 한국산 포기김치로, 500g 용량의 플라스틱 백 포장 제품이며, 할랄 인증과 한국 전통 방식으로 제조됨|8)
** 
("entity"|Whole Napa Cabbage|PRODUCT|Whole Napa Cabbage는 한국산 포기김치로, 1000g 용량의 플라스틱 백 포장 제품이며, HACCP 인증과 전통 방식으로 제조됨|8)
** 
("entity"|Chinjung Whole Kimchi|PRODUCT|Chinjung Whole Kimchi는 미국산 포기김치로, 3400g 유리병 포장에 정갈하고 맛있다는 홍보문구를 사용하는 제품|8)
** 
("entity"|Kimchi|PRODUCT|Kimchi는 한국산 또는 미국산으로, 다양한 용량(340g~3400g), 포장(유리병, 플라스틱백, 플라스틱병), 인증(할랄, HACCP)과 맛, 품질이 강조된 대표 한국 발효식품|8)
** 
("relationship"|C사|Seoul Kimchi|C사는 미국 현지 포장과 디자인을 적용하여 미국 시장에 적합한 김치를 생산하며, 한국산 원재료와 인증을 갖춘 제품을 유통|9)
** 
("relationship"|A사|Whole Napa Cabbage|A사는 미국 시장에 1000g 포장 김치를 유통하며, 미국 전용 포장과 홍보를 통해 현지화 전략을 추진|9)
** 
("relationship"|B사|Whole Cabbage Kimchi|B사는 미국 내 500g 포장 김치를 온라인과 오프라인에서 판매하며, 미국산 원료와 현지 포장 방식을 적용|9)
** 
("relationship"|H마트|Seoul Kimchi|H마트는 한국산 김치를 비롯하여 다양한 김치 제품을 오프라인 매장에서 판매하며, 한국 브랜드와 인증을 강조|9)
** 
("relationship"|Walmart|Organic Kimchi|Walmart는 미국산 유기농 김치를 유리병 포장으로 판매하며, 인증과 건강상 이점을 홍보|9)
** 
("relationship"|Trader Joe's|Trader Joe's Kimchi|Trader Joe's는 미국산 맛김치를 플라스틱병 포장으로 판매하며, 전통 재료와 자연 원료를 강조|9)
** 
("relationship"|Whole Cabbage Kimchi|Whole Napa Cabbage|Whole Cabbage Kimchi는 한국산 포기김치로, HACCP 인증과 정통 방식으로 제조되어 미국 시장에 적합|9)
** 
("relationship"|Chinjung Whole Kimchi|Chinjung Whole Kimchi|Chinjung Whole Kimchi는 미국산 포기김치로, 대용량 포장과 정갈한 맛을 홍보하며 미국 시장에 적합|9)
END_OF_OUTPUT
