엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"tiktok",소셜미디어,관련 플랫폼, "tiktok",소셜미디어,특징:짧은동영상공유;인플루언서영향력:높음
"instagram",소셜미디어,관련 플랫폼, "instagram",소셜미디어,특징:이미지영상홍보;인플루언서영향력:높음
"facebook",소셜미디어,관련 플랫폼, "facebook",소셜미디어,특징:라이브방송;인플루언서영향력:높음
"whatsapp",소셜미디어,관련 플랫폼, "whatsapp",소셜미디어,특징:메시지기반소통;비용:없음
"line",소셜미디어,관련 플랫폼, "line",소셜미디어,특징:인플루언서홍보;비용:없음
"youtube",소셜미디어,관련 플랫폼, "youtube",소셜미디어,특징:콘텐츠제작;인플루언서영향력:높음
"shopee",온라인쇼핑플랫폼,관계, "shopee",온라인쇼핑플랫폼,특징:모바일중심;시장점유율:높음
"lazada",온라인쇼핑플랫폼,관계, "lazada",온라인쇼핑플랫폼,특징:크로스보더;시장점유율:높음
"amazon",온라인쇼핑플랫폼,관계, "amazon",온라인쇼핑플랫폼,특징:대형;시장점유율:높음
"facebook shops",온라인쇼핑플랫폼,관계, "facebook shops",온라인쇼핑플랫폼,특징:소규모판매;연동:페이스북
"tiktok",온라인쇼핑플랫폼,관계, "tiktok",온라인쇼핑플랫폼,특징:라이브커머스;인플루언서활용
"line",온라인쇼핑플랫폼,관계, "line",온라인쇼핑플랫폼,특징:인플루언서홍보;연동:페이스북
"lazada",크로스보더전자상거래,관계, "lazada",크로스보더전자상거래,특징:수입상품;시장점유율:높음
"shopee",크로스보더전자상거래,관계, "shopee",크로스보더전자상거래,특징:수수료:없음;물류비용:낮음
"tiktok",라이브커머스,관계, "tiktok",라이브커머스,특징:콘텐츠기반판매;인플루언서활용
"foodpanda",온라인식품배달,관계, "foodpanda",온라인식품배달,특징:신선식품;지역:인도네시아,태국,말레이시아
"grab",온라인식품배달,관계, "grab",온라인식품배달,특징:1~2시간배송;지역:아시아전역
"careem",온라인음식배달,관계, "careem",온라인음식배달,특징:차량배달;지역:중동,아프리카
"amazonfresh",온라인식품,관계, "amazonfresh",온라인식품,특징:당일배송;회원제:프라임
"walmart",온라인식품,관계, "walmart",온라인식품,특징:대형유통;풀필먼트센터:다수
"target",온라인식품,관계, "target",온라인식품,특징:옴니채널;매장픽업
"alibaba",크로스보더전자상거래,관계, "alibaba",크로스보더전자상거래,특징:글로벌시장;수입상품
"jd",크로스보더전자상거래,관계, "jd",크로스보더전자상거래,특징:중국시장;수입상품
"lazada",크로스보더전자상거래,관계, "lazada",크로스보더전자상거래,특징:수입상품;시장점유율:높음
"shopee",크로스보더전자상거래,관계, "shopee",크로스보더전자상거래,특징:수수료:없음;물류비용:낮음
"foodpanda",지역배달서비스,관계, "foodpanda",지역배달서비스,특징:신선식품;지역:아시아
"grab",지역배달서비스,관계, "grab",지역배달서비스,특징:1~2시간배송;지역:아시아
"careem",지역배달서비스,관계, "careem",지역배달서비스,특징:차량배달;지역:중동
"amazon",대형온라인플랫폼,관계, "amazon",대형온라인플랫폼,특징:시장점유율:높음;상품다양
"walmart",대형온라인플랫폼,관계, "walmart",대형온라인플랫폼,특징:풀필먼트센터;시장점유율:높음
"target",대형온라인플랫폼,관계, "target",대형온라인플랫폼,특징:옴니채널;매장픽업
"lazada",대형온라인플랫폼,관계, "lazada",대형온라인플랫폼,특징:시장점유율:높음;크로스보더
"shopee",대형온라인플랫폼,관계, "shopee",대형온라인플랫폼,특징:시장점유율:높음;크로스보더
"amazon",대형온라인플랫폼,관계, "amazon",대형온라인플랫폼,특징:시장점유율:높음;프라임
"alibaba",대형온라인플랫폼,관계, "alibaba",대형온라인플랫폼,특징:글로벌시장;수입상품
"JD",대형온라인플랫폼,관계, "JD",대형온라인플랫폼,특징:중국시장;수입상품
